Enable_Stream,Stream_Name,,,is_Internal,IP version,Protocol,FrameLength,Modifier,TimeOut,EOL
1,Bypass_p2_VCT_V200_int,,,1,IPV4,TCP,1024,112500,120,EOL
1,Bypass_p2_VCT_V200_ext,,,0,IPV4,TCP,1024,112500,120,EOL
1,Gre-11.11.11.11_int,,,1,IPV4,UDP,1500,10000000,20,EOL
1,Gre-11.11.11.11_ext,,,0,IPV4,UDP,1500,10000000,20,EOL
1,BGP_Protocol_bypass_int,,,1,IPV4,TCP,512,11250,120,EOL
1,BGP_Protocol_bypass_ext,,,0,IPV4,TCP,512,11250,120,EOL
1,CER_Bitorent_DHT_int,,,1,IPV4,UDP,133,10000000,20,EOL
1,CER_Bitorent_DHT_ext,,,0,IPV4,UDP,133,10000000,20,EOL
1,ICMP_int,,,1,IPV4,,128,450,120,EOL
1,ICMP_ext,,,0,IPV4,,128,450,120,EOL
1,Autonomous_system_int,,,1,IPV4,UDP,512,100,20,EOL
1,Autonomous_system_ext,,,0,IPV4,UDP,512,100,20,EOL
1,Bypass_p1_Fallback_int,,,1,IPV4,UDP,1500,22500,20,EOL
1,Bypass_p1_Fallback_ext,,,0,IPV4,UDP,1500,22500,20,EOL
1,Dos_p1_vc1_int,,,1,IPV4,TCP,1500,4000000,20,EOL
1,Dos_p1_vc1_ext,,,0,IPV4,TCP,1500,4000000,20,EOL
1,Dos_p1_vc2_int,,,1,IPV4,TCP,1500,4000000,20,EOL
1,Dos_p1_vc2_ext,,,0,IPV4,TCP,1500,4000000,20,EOL
1,Dos_p2_VCT_int,,,1,IPV4,UDP,128,100000,20,EOL
1,Dos_p2_VCT_ext,,,0,IPV4,UDP,128,100000,20,EOL
1,Drop_PT_Fallback_int,,,1,IPV4,UDP,1024,200000,20,EOL
1,Drop_PT_Fallback_ext,,,0,IPV4,UDP,1024,200000,20,EOL
1,DualStack_IPv4_eDonkey_int,,,1,IPV4,UDP,1500,40000,20,EOL
1,DualStack_IPv4_eDonkey_ext,,,0,IPV4,UDP,1500,40000,20,EOL
1,DualStack_IPv6_BitTorrent_int,,,1,IPV6,TCP,1500,40000,120,EOL
1,DualStack_IPv6_BitTorrent_ext,,,0,IPV6,TCP,1500,40000,120,EOL
1,Interface-p1-vc1_int,,,1,IPV4,UDP,1500,67500,20,EOL
1,Interface-p1-vc1_ext,,,0,IPV4,UDP,1500,67500,20,EOL
1,IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_int,,,1,IPV6,TCP,1500,11250000,120,EOL
1,IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_ext,,,0,IPV6,TCP,1500,11250000,120,EOL
1,Max_Qos_Ignore_qos_int,,,1,IPV4,UDP,1500,81225,20,EOL
1,Max_Qos_Ignore_qos_ext,,,0,IPV4,UDP,1500,81225,20,EOL
1,ps_1518_ipv4_int,,,1,IPV4,,1518,10000,20,EOL
1,ps_1518_ipv4_ext,,,0,IPV4,,1518,10000,20,EOL
1,ps_1518_ipv6_int,,,1,IPV6,,1518,10000,20,EOL
1,ps_1518_ipv6_ext,,,0,IPV6,,1518,10000,20,EOL
1,ps_1522_inc_1_vlan_crc_ipv4_int,,,1,IPV4,,1522,10000,20,EOL
1,ps_1522_inc_1_vlan_crc_ipv4_ext,,,0,IPV4,,1522,10000,20,EOL
1,ps_1522_inc_1_vlan_crc_ipv6_int,,,1,IPV6,,1522,10000,20,EOL
1,ps_1522_inc_1_vlan_crc_ipv6_ext,,,0,IPV6,,1522,10000,20,EOL
1,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv4_int,,,1,IPV4,UDP,1526,10000,20,EOL
1,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv4_ext,,,0,IPV4,UDP,1526,10000,20,EOL
1,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv6_int,,,1,IPV6,UDP,1526,10000,20,EOL
1,ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv6_ext,,,0,IPV6,UDP,1526,10000,20,EOL
1,ps_1526_inc_2_vlans_QinQ_crc_ipv4_int,,,1,IPV4,,1526,10000,20,EOL
1,ps_1526_inc_2_vlans_QinQ_crc_ipv4_ext,,,0,IPV4,,1526,10000,20,EOL
1,ps_1526_inc_2_vlans_QinQ_crc_ipv6_int,,,1,IPV6,,1526,10000,20,EOL
1,ps_1526_inc_2_vlans_QinQ_crc_ipv6_ext,,,0,IPV6,,1526,10000,20,EOL
1,ps_9026_jumbo_QinQ_clsf_ipv4_int,,,1,IPV4,,9026,10000,20,EOL
1,ps_9026_jumbo_QinQ_clsf_ipv4_ext,,,0,IPV4,,9026,10000,20,EOL
1,ps_9026_jumbo_QinQ_clsf_ipv6_int,,,1,IPV6,,9026,10000,20,EOL
1,ps_9026_jumbo_QinQ_clsf_ipv6_ext,,,0,IPV6,,9026,10000,20,EOL
1,QoS_Min_QoS_pri1_int,,,1,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri1_ext,,,0,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri2_int,,,1,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri2_ext,,,0,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri3_int,,,1,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri3_ext,,,0,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri4_int,,,1,IPV4,UDP,1500,112500,20,EOL
1,QoS_Min_QoS_pri4_ext,,,0,IPV4,UDP,1500,112500,20,EOL
0,Subsribers_P_gold_BitTor_int,,,1,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_gold_BitTor_ext,,,0,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_gold_ftp_int,,,1,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_gold_ftp_ext,,,0,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_gold_skype_int,,,1,IPV4,UDP,1500,20000,20,EOL
0,Subsribers_P_gold_skype_ext,,,0,IPV4,UDP,1500,20000,20,EOL
0,Subsribers_P_silver_BitTor_int,,,1,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_silver_BitTor_ext,,,0,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_silver_ftp_int,,,1,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_silver_ftp_ext,,,0,IPV4,TCP,1500,20000,120,EOL
0,Subsribers_P_silver_skype_int,,,1,IPV4,UDP,1500,20000,20,EOL
0,Subsribers_P_silver_skype_ext,,,0,IPV4,UDP,1500,20000,20,EOL
1,Tethering BG_int,,,1,IPV4,TCP,128,22500,120,EOL
1,Tethering BG_ext,,,0,IPV4,TCP,128,22500,120,EOL
1,Tethering-DNS_int,,,1,IPV4,UDP,128,22500,20,EOL
1,Tethering-DNS_ext,,,0,IPV4,UDP,128,22500,20,EOL
1,Tethering-HTTP_int,,,1,IPV4,TCP,128,22500,120,EOL
1,Tethering-HTTP_ext,,,0,IPV4,TCP,128,22500,120,EOL
1,Time_half_quarter_int,,,1,IPV4,UDP,512,112500,20,EOL
1,Time_half_quarter_ext,,,0,IPV4,UDP,512,112500,20,EOL
1,Tos_Tos10-to-1_vc(QinQ)_int,,,1,IPV4,TCP,1024,67500,120,EOL
1,Tos_Tos10-to-1_vc(QinQ)_ext,,,0,IPV4,TCP,1024,67500,120,EOL
1,Tos_Tos20-to-45_vc(QinQ)_int,,,1,IPV4,TCP,1024,67500,120,EOL
1,Tos_Tos20-to-45_vc(QinQ)_ext,,,0,IPV4,TCP,1024,67500,120,EOL
1,UDS_HTTP_GET_int,,,1,IPV4,TCP,1500,28800,120,EOL
1,UDS_HTTP_GET_ext,,,0,IPV4,TCP,1500,28800,120,EOL
